Roles	Users	OID	OptimisticLockField
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{2A19C980-D456-4CE1-BE77-D3F587B51613}	{CAA74482-DDB0-4AA7-A9B6-5DD35E138485}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{91CD2091-6ACA-4036-96AD-619E8CC16537}	{EFE58FF1-055E-4D79-B639-5F123446A985}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{AA7A517D-CE30-47AC-A8F6-AFACD3B5B94B}	{4DF51E67-DFA7-41FC-AD1A-5F4B74C38B25}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{14726C60-4A7B-46EF-A9E4-760C678E6CD3}	{91D479C5-3FD9-41DE-9C5A-6026A0B0F245}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{9855EF86-F25B-471E-9E88-83137EFBD1D9}	{2BBF4259-9FF0-4C7E-8DEB-6226D69EE0C6}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{D8CA3E8A-C511-4036-B501-C1ADAB5F202C}	{5E2FBF23-EB93-439C-B074-670BC521AF8E}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{269B7851-86D9-4900-9AA8-73E8116D920B}	{E22424A8-43B8-4A27-B57E-6714554DB5F5}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{920793AB-144B-4623-A8B6-268ECFEA2A4E}	{7BE163A9-D701-458D-B9A7-6740BFE1248A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{2C98A9FF-B126-4273-B5A2-92E692D66BA0}	{1D8F6AA2-F1B2-401A-9FC9-678ACFA82A5E}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{ED610D7F-D230-4C05-958C-29E0996C31D3}	{C5F056A1-4B70-413C-957E-68F8386A286D}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{65C81A96-0F32-452D-A6AC-2F26683E4C1A}	{BD619E5F-CBF2-42FC-B7C7-6AE3442A3549}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{CBA4573F-A01D-422F-8B86-40C1BBA886A4}	{668373C9-C1DA-43A6-A848-6B0E9621586E}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{8545BFF3-192E-41EC-B00E-62B1530A251A}	{731517D3-9887-439C-8013-6CE8B548FE6B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{A5AFF20E-27BA-4004-9265-43C1D6CB7FB1}	{D58F1D45-A57E-4D9F-A7BB-6E6BEEA2125B}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{82F5BDFD-8C18-4A58-8F0D-BBD0A42E470A}	{466B29F3-6145-4A98-98D3-6E755FA3DCFE}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{7AD005B4-C58B-4D02-985E-F8BA8BD05387}	{D70485D3-BE1C-4501-B8D0-6EB140343EED}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{CF27EE24-3A75-43E1-B3BB-E0B7509DEB8A}	{2CED27EF-4C20-40D6-8651-6EBCF8DA29BB}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{ACF6B9F9-79F8-4330-A36F-1F734DA231AF}	{47EBEB38-993A-4DF1-84E7-70312EFB1AF9}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{417BFFFD-1AAA-441F-937F-AE15F3191CA3}	{461CDDA0-2B7E-4CDD-8962-708C59E8E8E2}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{A9752DCF-5312-456C-BFDB-D463997CA728}	{E38B4487-981C-476E-9520-71637FC44400}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{0269A6FB-0316-4346-81B6-75FADE498344}	{89F9A8EB-1CA4-4605-969C-71BB17C028CC}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{25867D77-D308-4857-B838-27F937142561}	{5E41F564-3137-4A4E-A39E-74DD019A42D8}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{CF349277-B2A3-4621-AF34-DDCA75743F69}	{93784426-E0F2-4E0E-BBE4-761099A0D4BE}	0
